text,label
@user nice new signage. Are you not concerned by Beatlemania -style hysterical crowds crongregating on youï¿½,0
A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot ï¿½ï,1
@user @user real talk do you have eyes or were they gouged out by a rapefugee?,1
your girlfriend lookin at me like a groupie in this bitch!,1
Hysterical woman like @user,0
Me flirting- So tell me about your father...,0
"The Philippine Catholic bishops' work for migrant workers should focus on families who are ""paying the great...",0
I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing ï¿½ï¿½ï¿½ï¿½ï¿,1
When cuffin season is finally over,0
"Send home migrants not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?",1
"Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.",1
Only that in you which is me can hear what I'm saying. ~Baba Ram Dass,0
Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome,1
More migrants take sea route to #Spain than Italy this year: UN,0
"Essential reading for those in Scribner, Nebraska who are considering an anti-immigrant ballot measure.",0
"This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen",1
RT @user @user I am flattered tbh. I got an orgasm just by thinking of it you really are good at this.,0
"Making them look ~anatomically correct~ just makes them... Bland. Not all women are tiny and fit, not all men are bulky.",0
listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes,1
@user @user keep calling her a bitch and a whore dude real grown up.,1
"Glad your having another nice vacation. How's the illegal border crossings, illegal oportunistic migrant entries, tax payer funded hotel rooms for same without a strategic plan going? @user @user @user @user @user @user",1
"@user Unchecked Population&amp;migration to cities is biggest evil for dirty India.Disincentive large families,such as withdrawl of sops",1
"Illegal Alien Hit Man, Dragged Him For Blocks In Deadly DUI Crash #BuildTheWall #NoAmnesty #NoDACA #DeportThemAll #KeepAmericaSafe",1
An Honest Article About Illegal Immigration By a Lefty?? Are Pigs Flying? -     A miracle...,0
@user @user @user @user please spread the word  -&gt;&gt; using frequent flyer miles to reunite immigrant families!,0
